Primary_building_code,rooms_total,windows,windows_open,supplyFan_operational,supplyFan_partOperational,supplyFan_nonOperational,exhaustFan_operational,exhaustFan_partOperational,exhaustFan_nonOperational,unitVentilator_operational,unitVentilator_partOperational,unitVentilator_nonOperational
R006,104,60,56,90,0,0,85,2,10,0,0,0
Q093,137,110,115,66,1,32,84,1,31,0,0,0
X015,127,102,102,113,0,0,141,0,0,0,0,0
K252,88,94,86,9,1,2,27,0,15,37,0,11
M002,97,83,83,2,0,1,75,0,4,0,0,0
K845,93,79,75,0,0,1,23,0,28,0,0,1
X211,44,40,38,17,0,0,16,0,5,31,0,0
M465,198,184,184,71,0,64,60,2,31,0,0,0
X886,35,21,20,25,0,6,25,0,10,1,0,0
M063,80,74,74,1,0,0,10,0,11,0,0,0
K022,118,72,71,85,0,30,89,0,26,0,0,0
M098,99,98,98,21,0,36,63,0,19,1,0,12
K026,172,128,128,4,1,2,62,5,42,0,0,0
K052,90,89,89,0,0,0,42,1,42,0,0,0
M834,199,74,69,157,5,4,133,3,37,0,0,1
K440,224,183,184,89,0,111,191,0,18,0,0,0
K238,104,101,94,3,0,1,3,4,48,44,0,7
M007,75,58,57,4,0,0,15,0,41,0,0,1
M005,122,76,76,70,0,38,48,1,51,0,0,0
Q228,47,22,21,29,0,0,31,0,15,0,0,0
M837,75,42,40,61,0,33,54,0,29,0,0,0
K015,93,65,65,7,0,0,82,0,3,11,0,1
M060,104,98,98,0,0,80,0,1,83,0,0,1
X650,127,125,125,11,0,24,20,0,87,63,0,14
R031,69,59,59,2,0,1,43,1,11,3,0,0
R460,226,177,165,30,1,5,110,0,93,0,0,0
K268,64,66,66,1,0,0,53,0,0,6,0,0
Q132,45,47,47,0,0,1,0,0,30,0,0,20
Q485,219,220,217,19,0,6,34,0,12,33,1,49
Q111,80,72,71,50,1,0,25,1,0,1,0,0
M807,46,15,13,34,0,8,2,0,1,0,0,0
K495,181,150,150,31,0,0,93,12,52,1,1,1
K214,82,81,81,2,0,1,8,0,29,41,0,0
K405,171,164,163,14,0,0,88,0,7,8,0,3
K114,96,97,96,33,0,1,54,0,6,0,0,0
M338,72,46,45,3,16,46,1,1,70,0,0,0
K328,106,85,83,24,0,1,79,0,6,0,0,0
M154,99,76,76,5,0,0,72,2,0,0,0,0
Q425,234,193,191,206,0,18,205,0,10,0,0,0
K094,102,92,88,1,0,39,35,1,30,3,0,0
K008,63,50,49,15,0,5,36,0,18,0,0,0
M905,22,14,14,0,0,0,2,0,3,0,0,0
K356,102,81,76,85,0,4,33,0,67,0,0,0
R035,32,27,27,0,0,0,19,2,8,0,0,0
Q229,156,97,97,22,0,0,93,6,19,0,0,0
K321,100,75,75,3,2,1,50,29,0,0,0,4
X460,135,64,57,64,0,53,11,5,111,0,0,0
M110,55,56,55,0,0,0,10,1,3,0,0,0
Q200,72,63,63,5,0,0,72,0,0,0,0,0
M868,66,59,57,55,6,8,35,24,10,0,0,0
R023,70,56,55,4,0,0,57,0,2,3,0,0
Q058,136,79,78,95,1,4,102,0,33,0,0,0
M104,85,80,80,5,0,0,8,0,1,4,1,0
M097,84,70,65,2,0,0,55,0,2,0,0,0
K041,99,85,78,12,0,0,61,3,18,0,0,0
X173,55,35,35,18,3,21,4,2,46,33,0,1
X455,415,289,288,133,72,92,68,12,317,16,2,188
Q085,48,48,48,1,0,0,28,0,1,0,0,0
Q219,82,66,62,21,0,11,65,0,10,0,0,22
K181,137,108,108,102,3,12,17,1,113,0,0,35
Q849,128,105,105,36,0,1,45,0,11,0,0,0
X445,247,163,163,40,4,6,99,8,89,0,1,1
K085,57,46,46,0,0,0,35,2,1,0,0,0
Q041,62,63,58,9,0,2,48,1,7,14,0,3
K273,79,73,73,2,0,0,58,0,12,0,0,0
R019,66,61,59,1,0,0,21,0,23,8,0,14
K119,48,43,40,0,0,0,6,0,2,1,0,0
X973,51,31,30,34,1,2,34,5,9,0,0,0
X722,66,39,40,52,0,14,73,0,4,0,0,0
M048,97,82,82,36,0,0,70,6,8,34,0,0
X158,204,121,121,64,0,1,184,0,0,0,0,0
Q125,166,149,146,49,0,14,105,0,22,66,2,2
M600,171,177,176,138,0,0,127,1,0,0,0,13
K097,69,65,62,0,0,16,29,0,15,18,0,8
M814,88,53,52,58,0,1,48,0,22,0,0,0
K460,217,189,176,2,0,91,58,2,31,0,0,0
M001,71,71,69,1,0,0,31,0,13,0,0,0
M169,62,23,23,57,0,0,51,0,0,25,0,0
X014,119,86,84,56,0,37,68,9,15,5,1,17
Q180,127,92,92,20,0,5,86,0,3,62,0,8
Q135,112,95,91,21,0,5,81,1,11,8,0,10
X292,76,35,31,22,3,25,45,1,43,0,0,0
K158,72,69,69,3,0,0,10,0,0,1,0,0
K107,53,45,45,2,0,4,38,0,3,1,0,0
X047,83,75,75,1,0,2,1,0,8,0,0,0
K051,112,91,90,6,0,2,66,1,2,0,0,0
K130,59,48,43,5,0,3,39,0,6,0,0,0
X069,39,37,36,3,0,23,7,0,27,0,0,0
M912,198,75,71,179,0,2,182,0,16,0,0,0
R038,39,31,31,15,0,0,16,0,16,0,0,0
Q163,109,87,85,31,0,6,52,0,40,16,0,8
X254,50,44,44,50,0,9,50,0,9,2,0,0
Q064,64,58,56,5,0,0,29,0,14,24,0,2
X148,133,106,105,1,0,9,18,0,94,0,0,0
X119,55,51,52,1,0,0,30,0,12,14,0,1
Q159,67,65,63,0,0,0,44,0,0,2,0,34
M112,96,47,47,6,0,0,85,0,3,1,0,0
X065,78,75,75,0,0,73,0,0,73,0,0,0
X192,122,103,96,24,0,2,101,0,16,11,0,1
X183,170,95,94,84,0,8,142,0,9,6,0,15
K010,89,85,78,5,2,2,37,2,14,1,0,0
M646,81,66,66,45,0,12,41,0,34,0,0,0
X113,147,151,145,23,0,1,49,0,6,52,0,20
K316,94,81,79,0,0,3,37,0,32,0,0,0
M625,181,167,165,1,0,7,91,0,24,0,0,0
K075,47,45,45,33,0,3,48,0,0,0,0,0
R045,68,65,65,9,0,0,17,0,37,30,0,9
M451,65,30,29,61,1,1,62,9,11,0,0,0
Q142,104,111,111,52,3,12,34,0,20,24,3,2
Q012,93,81,81,25,0,2,66,0,7,15,3,10
K170,99,82,78,18,0,36,33,0,4,0,0,0
Q102,147,79,79,67,0,8,118,0,21,0,0,0
M143,126,111,108,2,0,5,57,25,25,0,0,0
Q079,104,76,76,11,0,0,83,0,1,36,0,0
R011,49,46,44,5,1,9,26,1,2,11,0,0
X862,13,9,9,7,2,0,0,0,13,0,0,0
Q052,61,66,67,2,1,0,19,1,23,29,0,0
M207,81,68,68,2,1,2,20,0,46,2,2,5
K860,33,11,9,17,1,1,13,4,8,0,0,1
Q156,93,95,95,39,1,1,56,1,9,16,0,5
K304,87,66,66,3,0,1,67,3,3,0,0,0
K045,115,84,84,11,0,0,95,0,3,1,0,0
R435,288,126,121,136,0,5,183,0,49,35,0,0
K458,131,116,106,98,0,5,91,1,32,0,0,0
K296,118,114,113,10,0,0,96,1,10,1,0,0
K044,78,71,71,48,0,6,29,12,25,0,0,0
K161,78,83,83,1,1,3,0,7,55,0,0,0
K917,73,32,32,50,0,22,13,0,37,0,0,0
K012,97,66,66,54,3,10,8,0,23,0,0,0
K197,108,109,107,31,0,2,8,0,73,0,0,0
Q456,76,7,7,73,0,0,72,0,0,73,0,0
Q231,96,83,83,6,0,3,61,1,31,0,0,0
K278,100,94,94,3,0,1,37,1,39,0,0,0
Q721,154,105,101,50,5,61,64,3,63,0,0,0
Q082,66,45,44,14,0,4,43,0,12,12,2,0
Q520,110,62,61,91,0,1,99,5,6,0,0,0
X029,84,81,81,1,0,0,44,31,8,0,38,1
M117,130,107,107,12,0,1,102,0,1,0,0,0
R020,48,37,37,7,0,2,19,0,13,0,0,0
Q164,70,62,62,42,0,0,50,0,3,0,0,0
X134,91,72,72,4,0,0,30,18,29,0,0,4
M146,84,68,68,6,0,0,53,0,8,6,0,0
X066,115,109,109,44,0,24,68,0,17,0,0,0
K398,125,33,31,80,0,46,100,0,26,0,0,0
X285,63,38,34,35,3,18,6,0,53,0,0,1
K250,84,68,68,0,1,0,37,16,17,4,0,0
X068,78,68,65,3,0,4,8,0,25,0,0,9
K410,163,166,166,17,0,2,114,0,8,93,0,0
X117,148,147,140,7,0,4,62,0,23,0,0,0
R440,139,128,127,12,0,1,65,0,40,21,0,25
M751,51,50,49,0,0,0,0,0,0,0,0,0
Q101,58,55,54,0,0,0,39,0,2,0,0,0
Q129,82,71,71,29,0,0,78,0,1,24,0,0
K554,63,34,31,38,7,6,13,41,19,0,0,0
K033,152,116,115,6,1,0,73,13,25,0,0,0
M107,25,25,25,10,0,0,3,0,0,0,0,0
Q160,73,76,74,1,0,3,26,0,16,33,0,6
X087,55,47,40,4,0,33,8,0,31,9,1,23
Q034,46,50,50,2,0,3,18,1,2,12,0,0
M056,103,95,95,6,0,3,74,0,10,84,2,7
Q277,103,39,36,78,0,0,67,22,9,0,0,4
M488,238,133,132,171,0,9,16,0,52,0,0,0
M816,52,47,45,0,0,0,30,1,0,0,0,0
Q097,65,57,57,13,0,32,51,0,4,9,0,0
R049,93,82,82,10,1,1,2,0,88,1,0,0
X067,107,103,103,61,0,0,69,0,16,4,0,1
M087,64,63,63,1,0,0,49,0,0,2,0,0
X166,178,111,111,26,6,16,58,12,71,0,0,0
K317,110,72,72,80,0,2,106,1,4,0,0,0
X095,149,128,122,34,0,0,5,0,0,56,53,4
Q199,76,59,59,0,1,1,22,18,18,2,0,2
R831,44,40,40,2,0,0,33,0,0,0,0,0
Q335,79,53,52,63,0,0,74,0,0,0,0,0
M075,87,71,69,3,0,3,54,0,15,0,0,0
M342,89,53,48,65,0,0,65,0,4,0,0,0
Q311,88,69,60,69,0,1,81,0,8,59,0,0
M153,167,86,86,26,0,13,94,0,45,19,0,6
Q245,71,39,39,36,0,3,30,0,40,0,0,0
X174,146,99,99,0,0,0,28,2,67,82,0,1
Q292,126,70,70,89,8,12,95,10,36,0,0,0
K013,123,89,88,30,0,25,86,0,41,12,0,0
Q238,149,142,142,0,0,0,141,0,0,0,0,0
M477,299,193,162,127,0,43,266,0,38,132,0,21
Q157,125,112,112,1,0,0,86,0,35,2,0,0
M840,27,17,15,1,0,0,24,0,0,3,0,0
K095,88,83,80,25,0,0,36,0,0,17,0,0
Q221,80,66,66,4,0,1,32,5,17,0,0,0
X470,92,80,76,3,0,5,6,0,59,0,0,0
Q098,39,39,38,2,0,0,19,0,8,10,0,4
K007,114,70,70,58,0,34,32,0,80,0,0,0
X209,34,26,21,5,0,0,0,0,29,20,0,0
K050,113,97,97,4,0,2,92,3,6,0,0,1
Q024,125,88,87,48,0,13,78,0,26,17,0,0
Q130,55,54,53,5,0,2,43,0,8,15,0,0
Q398,60,45,44,41,0,0,36,0,22,0,0,0
K071,155,119,119,8,0,0,128,0,5,0,0,0
Q147,73,74,74,30,0,0,23,0,1,17,1,0
Q070,138,104,102,68,2,24,63,0,62,0,0,0
K035,75,76,76,47,0,2,48,0,6,0,0,24
Q339,86,54,53,71,0,4,82,0,12,0,0,0
K282,112,85,85,5,0,2,44,15,31,0,0,0
K804,101,82,79,3,0,5,20,0,6,0,0,1
R722,50,41,40,5,0,0,24,0,6,0,0,19
X055,107,106,101,0,0,1,26,0,70,0,0,0
Q054,48,47,47,25,1,2,16,2,4,1,0,0
K987,116,58,56,93,0,13,84,0,33,0,0,0
X089,95,95,95,15,0,1,56,1,19,55,0,5
M163,69,59,59,4,0,0,54,0,0,0,0,0
X130,59,51,51,0,0,0,48,0,0,1,0,0
Q088,103,74,70,41,1,33,49,0,46,21,1,0
X071,114,112,109,1,0,105,2,0,104,35,0,6
Q415,223,139,136,46,0,0,170,1,6,0,0,0
K019,95,77,76,5,0,0,45,10,19,0,0,0
K120,101,80,78,4,0,0,82,0,0,0,0,0
Q122,99,99,99,1,0,0,67,2,1,45,0,21
K049,157,144,144,5,0,0,101,2,8,0,0,0
Q139,68,61,60,16,1,11,39,0,14,25,0,0
M113,110,98,91,0,0,2,1,0,28,69,0,7
K057,168,142,142,12,0,0,28,5,98,0,0,0
K335,138,96,96,21,0,0,77,13,17,0,0,0
X859,38,3,1,43,0,2,7,0,3,0,0,0
X340,85,65,64,76,0,11,66,0,42,0,0,0
K113,122,111,111,5,0,2,78,2,10,0,0,0
X019,48,46,46,0,0,1,11,0,24,18,0,3
Q650,98,62,60,53,0,31,46,0,50,0,0,0
K016,84,81,81,33,3,27,25,2,29,0,0,0
X358,26,15,2,19,0,0,26,0,0,0,0,0
Q155,82,70,69,6,0,2,48,0,3,30,0,1
K285,80,83,83,7,0,0,36,27,1,0,0,0
X198,138,74,74,40,0,1,86,0,35,10,0,2
X205,79,44,43,23,0,3,37,0,16,7,0,0
X025,64,61,55,0,0,0,1,1,4,0,0,0
Q126,98,98,97,1,0,0,42,0,0,45,2,8
K190,74,72,72,75,0,17,93,0,2,1,0,0
K430,327,317,317,10,3,10,71,21,14,152,6,17
R056,93,58,57,55,0,25,50,0,35,0,0,0
K728,31,25,25,0,0,0,4,0,2,0,0,0
M495,58,58,41,2,0,18,1,0,11,0,0,0
K913,80,31,31,79,0,4,70,0,6,0,0,0
R016,96,76,75,4,0,0,70,3,10,1,0,3
X036,71,64,64,56,0,2,44,1,0,13,0,0
R043,164,115,73,155,0,0,45,0,7,0,0,0
X102,141,131,125,89,0,22,133,2,7,18,0,1
M446,61,61,60,4,0,3,5,0,0,0,0,0
X092,94,90,87,10,2,0,52,1,3,0,0,0
X826,40,27,23,28,0,1,34,0,1,0,0,0
M282,177,137,86,122,0,14,19,0,111,1,0,0
Q061,189,128,127,42,2,7,130,3,27,0,0,1
X048,85,84,70,0,0,47,5,1,65,0,0,0
K220,96,99,99,0,0,0,32,9,27,0,0,52
K153,48,53,53,0,0,0,10,0,0,0,0,0
Q148,93,95,94,31,0,0,68,0,3,29,0,2
M144,60,58,57,1,36,0,2,42,0,0,0,0
M180,69,70,69,2,36,0,1,45,0,0,0,0
Q217,125,108,108,8,0,0,59,10,35,17,0,0
X311,70,39,39,3,0,9,20,0,36,0,0,0
M045,112,109,109,8,0,6,79,0,37,1,0,0
M194,68,67,67,5,0,1,10,1,2,9,0,0
K210,92,93,90,0,0,0,54,0,12,43,0,15
K391,169,67,67,120,0,1,181,0,4,0,0,0
X126,80,70,73,2,0,0,48,0,16,0,0,0
K287,71,65,65,1,0,0,54,0,0,5,0,0
K445,181,156,154,20,5,76,9,3,64,0,0,0
X240,180,91,79,102,23,25,27,6,128,0,0,0
Q123,68,68,68,4,0,0,55,0,2,37,0,9
R013,79,54,52,58,0,8,62,0,14,0,0,0
M896,23,20,16,8,1,11,10,1,13,0,0,0
X054,79,58,57,31,0,1,73,0,5,45,0,0
M124,104,55,66,20,12,5,73,20,12,15,0,2
K102,118,119,105,8,1,0,31,5,4,0,0,0
M173,101,93,93,2,0,3,22,0,58,0,0,48
K383,160,94,94,77,3,0,136,50,1,39,0,2
K297,86,68,68,23,0,6,52,0,14,0,0,0
K029,85,78,78,51,0,0,65,0,1,1,0,0
Q744,239,134,126,108,6,107,37,6,190,51,3,13
X415,208,205,195,16,0,12,96,2,29,23,2,47
K202,99,104,104,3,0,0,77,0,3,68,0,1
M188,128,125,125,0,0,0,12,0,45,0,0,0
Q081,74,73,73,0,0,0,20,0,22,0,0,0
K212,77,77,73,5,0,5,33,2,5,0,0,0
M894,67,0,0,61,3,2,1,1,53,0,0,0
Q435,234,186,188,44,0,0,193,6,0,0,0,0
Q010,85,83,82,21,0,0,41,0,3,0,0,48
X098,136,125,107,14,0,0,74,3,14,43,0,27
M133,69,63,63,36,0,1,44,0,12,0,0,0
M620,181,50,0,159,18,5,152,4,16,0,0,0
K515,257,210,210,19,0,1,170,6,24,0,0,0
M323,138,65,58,110,0,4,141,0,4,0,0,0
R060,127,75,75,30,0,0,52,0,60,24,2,1
X011,64,64,61,0,0,0,0,0,97,0,0,0
Q184,52,43,43,21,0,0,42,0,0,36,0,0
X120,100,93,92,6,1,0,34,42,13,0,0,0
K147,102,103,102,1,0,0,7,0,6,1,0,0
Q260,119,72,64,37,1,59,92,1,29,0,0,6
Q020,124,94,81,82,0,8,100,0,14,36,0,1
X100,77,68,61,6,0,0,59,6,0,0,0,0
Q162,63,59,59,2,1,0,23,3,9,0,0,20
K101,137,90,74,26,0,14,55,0,45,28,0,3
Q220,65,48,48,24,0,21,40,0,15,0,0,1
K193,75,74,74,19,0,23,8,0,61,0,0,0
X062,87,85,85,7,0,53,4,0,76,0,0,0
Q636,51,50,50,0,0,5,0,0,5,0,0,0
M102,81,70,70,4,0,0,60,0,1,0,0,0
Q774,30,16,16,27,1,1,28,0,2,0,0,0
M198,77,77,77,5,0,2,66,0,9,0,0,0
K136,111,98,92,2,0,3,72,3,0,1,0,0
X056,95,46,44,36,0,24,42,0,30,0,0,0
Q505,275,152,153,59,0,15,130,0,69,0,0,0
K660,137,107,104,49,0,98,70,0,80,0,0,0
K096,118,122,120,6,0,0,69,0,12,0,0,76
Q099,66,49,49,36,10,1,28,7,9,1,2,1
Q868,54,20,0,53,0,0,31,0,0,53,0,0
Q118,60,64,61,3,0,2,17,0,11,17,0,25
M932,49,36,17,39,0,2,5,0,32,11,0,0
R052,64,59,58,9,0,0,49,0,9,0,0,0
X779,41,35,33,3,0,1,4,0,16,0,0,0
Q739,42,39,39,10,0,0,1,0,14,0,0,0
K072,165,110,109,9,0,7,100,11,34,17,0,3
Q420,182,168,166,22,0,13,144,2,43,0,0,0
R002,107,78,78,8,0,0,75,0,7,0,0,0
M041,83,72,72,2,0,0,29,2,38,0,0,0
M019,79,63,62,32,0,10,22,1,29,0,0,0
R072,167,63,62,102,0,5,147,0,16,0,0,0
Q084,49,44,44,1,0,0,7,0,0,0,0,0
K200,107,102,100,10,0,2,58,2,3,0,0,34
Q145,134,115,117,0,0,0,63,0,39,28,0,0
K218,130,110,110,28,0,0,98,0,10,0,0,0
Q195,80,62,62,53,0,2,80,0,3,33,0,2
X094,75,69,66,8,0,0,13,0,33,31,0,2
X149,112,100,97,6,0,2,51,0,40,0,0,0
X143,118,95,92,7,0,0,55,6,21,0,0,0
M164,83,84,82,3,1,3,12,13,26,0,0,0
Q151,69,68,68,11,0,0,36,0,1,17,1,9
M911,68,65,70,3,0,2,8,1,2,0,0,0
X157,83,76,73,2,0,0,64,0,1,2,0,1
X005,78,66,63,12,1,0,21,23,21,44,0,1
X178,120,58,58,104,0,3,103,0,17,0,0,0
K277,51,46,46,2,0,0,15,18,12,0,0,0
M111,82,60,60,0,0,0,50,0,5,37,0,8
Q032,77,71,71,5,0,0,52,0,7,39,0,3
K048,64,61,61,1,0,2,2,0,2,0,0,0
M118,128,120,119,44,0,28,34,0,19,0,0,0
M876,80,34,33,58,0,4,64,0,14,0,0,0
Q404,121,73,68,125,0,0,123,0,0,125,0,0
R041,82,74,72,6,0,0,50,0,6,37,1,0
Q168,122,98,92,3,0,2,42,6,48,0,0,0
K470,240,170,165,62,0,1,163,0,34,1,0,0
X392,60,33,31,42,1,22,18,23,22,0,0,0
X073,72,70,70,1,0,0,18,1,43,0,0,0
X053,69,71,71,0,0,0,64,0,6,0,0,0
X041,76,69,69,1,0,12,38,0,36,0,0,0
X009,97,89,88,8,0,0,40,4,15,42,3,3
K302,154,93,92,19,0,1,116,0,20,0,0,0
Q116,84,86,86,2,0,1,41,1,13,1,0,41
X498,168,74,73,53,0,51,21,0,116,0,0,0
M155,69,70,70,3,0,1,65,0,12,0,0,0
K039,41,33,33,0,0,0,9,1,0,0,0,0
Q109,120,127,127,2,0,1,29,3,23,60,3,12
X142,123,107,104,6,0,1,109,2,7,0,0,0
M528,31,21,20,22,0,0,30,0,1,0,0,0
Q108,131,103,103,32,0,0,47,0,52,0,0,6
Q100,99,84,83,22,0,2,61,0,8,0,0,0
Q015,50,49,45,3,0,5,23,0,8,0,0,26
M971,83,49,45,47,0,17,48,0,35,0,0,0
K160,59,55,55,1,0,0,7,0,21,0,0,0
K105,105,108,107,0,0,0,63,0,7,0,0,0
K208,70,70,66,5,0,0,16,0,26,21,0,21
Q208,127,59,59,72,0,18,89,16,17,0,0,0
Q214,64,56,55,4,0,0,56,0,0,0,0,0
R042,81,57,57,1,0,0,47,0,18,0,0,1
X306,162,124,124,43,4,7,30,0,127,85,1,2
K655,137,121,121,29,7,5,79,0,6,28,0,11
M271,104,54,54,1,1,0,64,0,41,41,0,0
Q191,61,53,53,5,0,0,48,0,1,0,0,0
X905,28,17,17,21,0,7,12,0,13,1,0,1
Q055,45,47,47,4,0,0,24,1,4,24,2,0
K018,34,31,31,2,0,0,8,0,1,1,0,0
Q176,100,74,74,57,0,3,69,0,12,0,0,0
X006,80,72,72,2,0,0,58,0,2,0,0,0
Q707,56,36,36,6,1,3,26,1,19,6,0,2
Q213,75,59,59,3,0,0,50,0,2,0,0,0
M918,117,53,53,84,0,3,73,0,34,0,0,0
K155,88,77,74,0,0,70,71,0,5,0,0,0
M036,113,103,104,0,0,0,79,5,18,48,13,1
X091,71,71,71,8,0,0,20,1,17,9,1,23
Q455,193,181,177,5,0,3,86,0,47,15,0,28
X050,76,76,73,1,0,0,43,0,11,0,0,0
Q026,87,74,74,53,1,0,59,0,7,0,0,0
X430,213,198,182,11,0,32,32,0,114,35,0,12
K172,49,46,46,32,0,3,0,0,38,0,0,0
K006,102,55,55,47,0,31,30,1,65,0,0,0
M200,102,71,71,4,0,1,65,0,24,3,0,2
M033,88,79,82,43,1,6,44,2,20,0,0,0
K169,118,109,109,20,0,67,53,0,59,21,0,7
Q197,91,72,72,4,0,1,76,0,6,0,0,1
X125,119,101,98,0,0,0,85,0,17,66,0,0
M165,109,103,92,1,0,0,62,1,4,74,0,6
R880,100,73,73,21,0,58,32,0,59,0,0,38
X107,76,77,77,40,0,0,56,0,0,61,0,1
K280,85,73,65,1,0,4,44,0,7,0,0,0
K209,73,73,73,10,0,0,53,0,0,0,0,38
K188,73,74,74,5,0,0,58,0,6,0,0,0
K199,70,66,65,6,0,0,52,0,0,16,0,0
K230,80,77,77,17,0,0,59,1,4,31,0,1
M022,110,90,93,7,0,1,78,3,11,4,0,1
K425,159,168,166,42,0,68,26,1,28,1,0,0
Q470,152,138,136,23,0,0,55,0,66,82,0,0
R053,73,55,55,4,0,6,65,0,3,0,0,0
R054,91,66,64,2,0,4,74,2,10,8,0,3
M166,59,57,51,36,0,23,7,1,53,41,0,1
Q030,81,61,61,5,1,3,43,11,12,4,0,0
Q247,100,54,53,73,0,3,81,0,15,0,0,0
Q043,146,111,110,103,0,10,93,0,15,0,0,0
M460,218,212,207,12,0,98,21,0,91,1,0,47
Q884,66,18,18,59,0,1,46,0,13,0,0,0
X167,188,62,61,104,3,22,91,2,38,0,0,0
X063,68,72,70,1,0,4,2,0,61,0,0,2
X410,204,200,199,8,0,3,59,0,77,0,0,70
M435,144,135,131,8,0,0,111,0,0,2,0,0
X206,60,39,39,48,0,0,33,2,21,0,0,0
M520,224,58,2,216,0,1,189,0,27,35,0,0
M506,126,71,70,106,3,1,58,40,28,1,0,0
Q633,61,35,33,31,6,18,23,2,30,0,0,0
K175,98,77,76,22,1,17,26,2,5,2,0,39
X086,117,111,111,1,0,0,56,0,13,47,0,0
R445,195,184,180,103,7,81,56,6,113,50,0,2
X423,141,90,82,15,13,74,26,6,102,0,0,0
X023,95,56,50,9,39,18,0,0,31,0,0,0
K005,128,99,87,3,1,2,80,5,16,0,0,8
K246,161,134,135,53,0,9,80,1,23,2,0,13
X114,78,69,69,23,1,11,12,0,39,0,0,0
Q188,64,52,52,4,0,2,43,0,0,0,0,0
X234,93,49,49,4,0,3,17,1,37,11,0,1
M136,100,102,102,0,0,2,13,0,81,0,0,1
K031,84,81,81,0,0,0,6,0,3,0,0,0
K249,86,78,78,4,0,0,62,4,6,0,0,0
Q045,55,53,53,2,0,2,27,0,12,36,0,0
X132,89,77,76,8,0,0,44,8,6,0,0,0
K971,64,24,24,29,1,12,27,17,13,0,0,0
K233,112,108,105,32,0,0,72,1,13,49,4,4
Q686,298,125,120,221,0,0,298,0,0,0,0,0
Q215,78,62,61,2,1,1,57,0,5,4,1,0
Q480,163,164,160,8,0,20,8,0,98,1,0,91
X819,47,48,48,2,0,0,3,0,0,2,0,0
X020,103,93,93,77,0,25,76,0,27,0,0,0
X057,81,82,80,39,7,13,50,1,10,0,0,0
X030,87,87,87,12,0,4,57,0,0,3,0,0
K907,73,18,18,55,0,14,49,0,20,0,0,0
Q273,66,27,27,32,0,5,9,0,20,0,0,0
M916,45,36,32,4,0,0,6,0,8,0,0,0
Q059,117,104,101,6,0,1,79,6,12,2,0,0
X151,174,145,145,13,0,6,112,0,35,2,1,0
Q117,111,94,91,30,0,10,89,0,4,27,1,17
M008,102,53,50,55,0,15,43,0,26,0,0,0
X027,71,73,73,0,0,0,0,0,1,0,0,0
M641,85,80,80,0,0,0,65,1,0,63,4,4
Q076,104,83,83,9,0,51,30,6,48,0,0,0
K215,84,79,76,2,0,1,60,0,10,38,0,7
K166,101,95,95,9,0,88,64,0,34,0,0,0
R001,47,38,38,2,0,0,43,0,0,0,0,0
Q263,113,58,53,75,4,21,100,7,26,0,0,0
K279,111,92,91,23,0,0,89,8,7,0,0,0
K014,118,107,107,74,0,7,99,0,2,0,0,0
X097,37,37,37,2,0,0,18,0,9,14,0,9
X843,75,75,75,0,0,0,0,0,0,49,0,0
Q680,58,37,34,27,6,21,35,2,16,17,10,10
K262,90,87,87,8,1,0,60,0,0,0,0,0
Q314,135,76,68,109,0,0,77,0,53,0,0,0
K465,207,212,211,58,0,51,19,0,67,22,1,12
K205,117,112,107,65,1,15,62,1,18,0,0,1
Q002,66,59,58,18,0,0,55,0,0,5,0,9
R004,187,114,114,34,0,0,101,0,59,11,0,0
K024,112,72,72,20,0,2,103,2,0,46,1,2
X141,136,106,106,101,0,0,94,10,15,0,0,0
Q287,65,43,40,46,0,14,24,0,43,24,0,0
K807,97,50,48,44,0,34,30,17,39,0,0,0
K163,57,54,54,1,0,0,5,0,2,0,0,0
K371,64,43,43,3,0,0,46,2,0,0,0,0
Q091,112,92,84,22,0,52,27,8,44,0,0,0
X884,132,46,45,121,0,0,113,0,9,0,0,0
K251,43,42,42,2,1,0,30,2,4,0,0,0
K100,82,79,79,2,0,50,42,0,19,0,0,0
K610,103,112,112,6,0,0,56,0,6,24,4,26
Q031,55,49,48,31,0,0,37,0,0,0,0,0
X115,115,102,99,0,0,35,1,0,67,0,0,0
X317,60,35,31,46,0,0,56,0,0,0,0,0
K346,155,129,129,13,0,3,120,0,20,13,0,1
X181,135,81,81,127,0,8,112,0,21,0,0,0
X475,284,242,241,22,1,14,120,0,49,185,23,4
X876,59,10,10,43,0,12,23,0,22,0,0,0
M190,43,43,43,38,0,0,2,0,0,0,0,0
R007,137,111,111,12,0,0,92,0,1,0,0,0
M898,51,21,21,34,0,0,17,0,28,0,0,0
M114,53,28,26,38,0,1,51,0,0,0,0,0
X701,16,14,14,14,0,0,3,0,0,0,0,0
Q096,38,36,35,1,0,17,23,0,1,0,0,0
K003,93,69,69,51,0,0,51,0,10,0,0,0
Q266,129,53,51,86,0,2,83,0,34,0,0,0
X279,116,68,67,69,1,40,72,1,2,0,0,0
M178,73,31,30,35,0,18,16,0,55,1,0,0
X184,217,127,127,53,0,12,145,0,10,2,0,0
Q430,168,144,143,8,0,3,10,2,107,0,0,0
k221,70,70,70,3,0,0,40,0,12,41,0,0
Q313,78,36,34,59,0,22,42,0,35,0,0,0
M540,120,104,102,9,0,6,85,0,12,59,0,0
K395,111,83,82,92,0,7,57,0,42,2,0,0
Q069,110,72,71,72,0,4,72,2,30,20,0,0
K150,95,87,83,1,0,0,14,1,2,0,0,0
M126,68,66,68,4,0,0,23,3,25,61,0,2
